,owner,project,file,page,abstracted,classification
481,selectize,selectize.js,How-to-make-a-great-reproduction-case.md,how to make a great reproduction case,how to make a great reproduction case,How
482,selectize,selectize.js,Issue-triage-and-priority.md,issue triage and priority,issue triage and priority,Contribuition
483,filp,whoops,Possible-features-to-add.md,possible features to add,possible feature to add,When
484,apprenticeharper,DeDRM_tools,Installing-ADE-on-Arch-Linux-via-WINE.md,installing ade on arch linux via wine,instal ade on arch linux via wine,How
485,apprenticeharper,DeDRM_tools,adeinstaller.sh.md,adeinstallersh,adeinstallersh,Other
486,apprenticeharper,DeDRM_tools,Exactly-how-to-remove-DRM.md,exactly how to remove drm,exactly how to remove drm,How
487,turbolinks,turbolinks,VueJs-and-Turbolinks.md,vue js and turbolinks,vue js and @PROJECT,How
488,turbolinks,turbolinks,Turbolinks-5-FAQ.md,turbolinks 5 faq,@PROJECT @NUMBER faq,References
489,kubernetes-sigs,kubespray,Add-SLB-for-kargo-cluster..md,add slb for kargo cluster,add slb for kargo cluster,How
490,saltstack,salt,Cheat-Sheet.md,cheat sheet,cheat sheet,References
491,saltstack,salt,Home.md,home,home,What
492,saltstack,salt,December-2015-Sprint-Beginner-Bug-List.md,december 2015 sprint beginner bug list,@MONTH @YEAR sprint beginner bug list,References
493,saltstack,salt,December-2015-Sprint-Advanced-Bug-List.md,december 2015 sprint advanced bug list,@MONTH @YEAR sprint advance bug list,References
494,saltstack,salt,Release-Checklist.md,release checklist,release checklist,Contribuition
495,saltstack,salt,What-is-salt?.md,what is salt,what is @PROJECT,What
496,horovod,horovod,TSC-Meeting-Notes.md,tsc meeting notes,tsc meet note,When
497,davidsandberg,facenet,Variational-autoencoder.md,variational autoencoder,variational autoencoder,How
498,davidsandberg,facenet,Validate-on-LFW.md,validate on lfw,validate on lfw,How
499,davidsandberg,facenet,Train-a-classifier-on-own-images.md,train a classifier on own images,train a classifier on own image,How
500,davidsandberg,facenet,Home.md,home,home,What
501,davidsandberg,facenet,Triplet-loss-training.md,triplet loss training,triplet loss train,How
502,davidsandberg,facenet,Training-using-the-VGGFace2-dataset.md,training using the vggface2 dataset,train use the @NON_ENGLISH dataset,How
503,davidsandberg,facenet,Classifier-training-of-inception-resnet-v1.md,classifier training of inception resnet v1,classifier train of inception resnet @NUMBER,How
504,node-inspector,node-inspector,Developer's-Guide.md,developer guide,developer guide,How
505,node-inspector,node-inspector,Contributing.md,contributing,contribute,Contribuition
506,thephpleague,flysystem,Adapter-Internals.md,adapter internals,adapter internals,References
507,eclipse,deeplearning4j,Deeplearning4j-Code-of-Conduct.md,deeplearning4j code of conduct,@PROJECT code of conduct,Who
508,facebook,stetho,Release-instructions.md,release instructions,release instruction,Contribuition
509,facebook,stetho,FAQ.md,faq,faq,References
510,vicc,chameleon,Colors-From-Images.md,colors from images,color from image,References
511,vicc,chameleon,UIColor-Methods.md,uicolor methods,uicolor method,References
512,vicc,chameleon,Color-Scheme-Methods.md,color scheme methods,color scheme method,References
513,vicc,chameleon,Theme-Methods.md,theme methods,theme method,References
514,qax-os,excelize,One-time-Donations.md,one time donations,one time donation,Other
515,qax-os,excelize,Home.md,home,home,What
516,umami-software,umami,Missing-translations.md,missing translations,miss translation,Contribuition
517,deepinsight,insightface,Tutorial:-Deploy-Face-Recognition-Model-via-TVM.md,tutorial deploy face recognition model via tvm,tutorial deploy face recognition model via tvm,How
518,deepinsight,insightface,TVM-Benchmark.md,tvm benchmark,tvm benchmark,Why
519,uutils,coreutils,Supporting-SELinux-in-the-coreutils.md,supporting selinux in the coreutils,support selinux in the @PROJECT,How
520,uutils,coreutils,GSOC-Project-Ideas.md,gsoc project ideas,gsoc project idea,When
521,uutils,coreutils,Home.md,home,home,What
522,php-fig,fig-standards,PSR-4-Example-Implementations.md,psr 4 example implementations,psr @NUMBER example implementation,References
523,php-fig,fig-standards,Further-Style-Guide-Considerations.md,further style guide considerations,further style guide consideration,Contribuition
524,mame,quine-relay,Installation.md,installation,installation,How
525,CodeEditApp,CodeEdit,Developer-Docs.md,developer docs,developer doc,References
526,CodeEditApp,CodeEdit,Code-Style.md,code style,code style,Contribuition
527,CodeEditApp,CodeEdit,Troubleshooting.md,troubleshooting,troubleshoot,How
528,CodeEditApp,CodeEdit,Terminology.md,terminology,terminology,References
529,CodeEditApp,CodeEdit,Getting-Started.md,getting started,get start,How
530,CodeEditApp,CodeEdit,Theme-Structure.md,theme structure,theme structure,References
531,zhihu,Matisse,Basic-Usage.md,basic usage,basic usage,How
532,zhihu,Matisse,Theme.md,theme,theme,References
533,pinpoint-apm,pinpoint,Technical-Overview-Of-Pinpoint.md,technical overview of pinpoint,technical overview of @PROJECT,References
534,pinpoint-apm,pinpoint,Home.md,home,home,What
535,Tencent,rapidjson,Related-Projects.md,related projects,relate project,References
536,raywenderlich,swift-style-guide,lab2.md,lab2,@NON_ENGLISH,Other
537,jupyterlab,jupyterlab,TypeScript-Style-Guide.md,type script style guide,type script style guide,References
538,daimajia,AndroidSwipeLayout,Usage.md,usage,usage,How
539,daimajia,AndroidSwipeLayout,SwipeAdapter.md,swipe adapter,swipe adapter,How
540,lit,lit,Lit-2.0-Upgrade-Guide.md,lit 20 upgrade guide,@PROJECT @NUMBER upgrade guide,How
541,lit,lit,How-it-Works.md,how it works,how it work,How
542,lit,lit,About-Lit-2.0.md,about lit 20,about @PROJECT @NUMBER,What
543,gaearon,react-hot-loader,How-React-Hot-Loader-works.md,how react hot loader works,how @PROJECT work,References
544,daimajia,AndroidViewAnimations,Home.md,home,home,What
545,dzenbot,DZNEmptyDataSet,Projects-using-DZNEmptyDataSet.md,projects using dznempty data set,project use @PROJECT,Who
546,zenorocha,alfred-workflows,Extras.md,extras,extra,References
547,webrtc,samples,AppRTC-URL-parameter-guide.md,app rtc url parameter guide,app rtc url parameter guide,How
548,gizak,termui,Home.md,home,home,What
549,kyleneideck,BackgroundMusic,Installer-Problems?.md,installer problems,installer problem,How
550,kyleneideck,BackgroundMusic,App-Volumes-Fixes.md,app volumes fixes,app volume fix,How
551,kyleneideck,BackgroundMusic,Getting-Debug-Logs.md,getting debug logs,get debug log,How
552,kyleneideck,BackgroundMusic,Installing-from-Source-Code.md,installing from source code,instal from source code,How
553,kaldi-asr,kaldi,Home.md,home,home,What
554,kaldi-asr,kaldi,std::numeric_limits.md,stdnumeric limits,stdnumeric limit,References
555,rizinorg,cutter,Home.md,home,home,What
556,influxdata,telegraf,Compiling-a-dynamically-linked-plugin.md,compiling a dynamically linked plugin,compile a dynamically link plugin,How
557,influxdata,telegraf,Traceroute.md,traceroute,traceroute,References
558,influxdata,telegraf,MetricBuffer.md,metric buffer,metric buffer,References
559,mengshukeji,Luckysheet,User-Guide.md,user guide,user guide,How
560,tj,co,Home.md,home,home,What
561,blitz-js,blitz,Home.md,home,home,What
562,blitz-js,blitz,How-to-Run-Prisma-Studio-in-Production-on-Render.com.md,how to run prisma studio in production on rendercom,how to run prisma studio in production on rendercom,How
563,blitz-js,blitz,How-To-Impersonate-Other-Users.md,how to impersonate other users,how to impersonate other user,How
564,PuerkitoBio,goquery,Tips-and-tricks.md,tips and tricks,tip and trick,How
565,aurelia,framework,My-Dream-Editor.md,my dream editor,my dream editor,Other
566,aurelia,framework,Ideas-for-an-i18n-module.md,ideas for an i18n module,idea for an @NON_ENGLISH module,When
567,alibaba,tengine,Roadmap.md,roadmap,roadmap,When
568,kubernetes,dashboard,Roadmap.md,roadmap,roadmap,When
569,sindresorhus,pure,FAQ-Archive.md,faq archive,faq archive,References
570,sindresorhus,pure,Color-schemes.md,color schemes,color scheme,References
571,sindresorhus,pure,"Customizations,-hacks-and-tweaks.md",customizations hacks and tweaks,customizations hack and tweak,References
572,sindresorhus,pure,Inspired-work.md,inspired work,inspire work,References
573,scottbez1,smartknob,Motor-Status.md,motor status,motor status,References
574,xmartlabs,Eureka,Eureka-Rows.md,eureka rows,@PROJECT row,References
575,hotwired,stimulus,Controllers-and-Extensions.md,controllers and extensions,controller and extension,References
576,hotwired,stimulus,Home.md,home,home,What
577,jessepollak,card,Home-::-Wiki.md,home wiki,home wiki,What
578,h4cc,awesome-elixir,Sorted-Most-Popular-Awesome-Elixir-GitHub-Projects.md,sorted most popular awesome elixir git hub projects,sort most popular @PROJECT git hub project,References
579,OI-wiki,OI-wiki,Roadmap.md,roadmap,roadmap,When
580,Matt-Esch,virtual-dom,Home.md,home,home,What
581,pybind,pybind11,Roadmap.md,roadmap,roadmap,When
582,pybind,pybind11,Debugging-segfaults-and-hard-to-decipher-pybind11-bugs.md,debugging segfaults and hard to decipher pybind11 bugs,debug segfaults and hard to decipher @PROJECT bug,How
583,compiler-explorer,compiler-explorer,FAQ.md,faq,faq,References
584,google,brotli,Building-Windows-Artifacts.md,building windows artifacts,build window artifact,How
585,google,brotli,Fetch-Specification.md,fetch specification,fetch specification,References
586,wenzhixin,bootstrap-table,Online-Editor-Explanation.md,online editor explanation,online editor explanation,How
587,ptmt,react-native-macos,FAQ-draft.md,faq draft,faq draft,References
588,ptmt,react-native-macos,Updating-from-an-existing-project-to-version-0.18.x.md,updating from an existing project to version 018x,update from an exist project to version @NUMBER,How
589,realm,realm-java,Release-Checklist.md,release checklist,release checklist,Contribuition
590,akveo,blur-admin,How-to-change-color-scheme.md,how to change color scheme,how to change color scheme,How
591,pagehelper,Mybatis-PageHelper,QA.md,qa,qa,Other
592,adobe-fonts,source-han-sans,Home.md,home,home,What
593,tachyons-css,tachyons,FAQs.md,faqs,faq,References
594,octalmage,robotjs,Electron.md,electron,electron,How
595,octalmage,robotjs,Projects-using-RobotJS.md,projects using robot js,project use robot js,Who
596,morhetz,gruvbox,Troubleshooting.md,troubleshooting,troubleshoot,How
597,morhetz,gruvbox,Usage.md,usage,usage,How
598,morhetz,gruvbox,Terminal-specific.md,terminal specific,terminal specific,References
599,morhetz,gruvbox,Configuration.md,configuration,configuration,How
600,morhetz,gruvbox,Installation.md,installation,installation,How
601,facebook,watchman,Changes-required-for-Windows-support.md,changes required for windows support,change require for window support,References
602,facebook,watchman,File-&-Dir-tracking-data-v2.md,file dir tracking data v2,file dir track data @NUMBER,References
603,facebook,watchman,Better-Unicode-handling-plan.md,better unicode handling plan,better unicode handle plan,How
604,jonas,tig,Bindings.md,bindings,bind,References
605,getpelican,pelican,Externally-hosted-plugins-and-tools.md,externally hosted plugins and tools,externally host plugins and tool,References
606,getpelican,pelican,Powered-by-Pelican.md,powered by pelican,power by @PROJECT,References
607,getpelican,pelican,Home.md,home,home,What
608,getpelican,pelican,Tutorials.md,tutorials,tutorial,How
609,getpelican,pelican,Git-Tips.md,git tips,git tip,References
610,getpelican,pelican,Tips-n-Tricks.md,tips n tricks,tip n trick,References
611,jquery,jquery-ui,Release-process.md,release process,release process,Contribuition
612,mobile-shell,mosh,Distribution-specific-installation.md,distribution specific installation,distribution specific installation,How
613,mobile-shell,mosh,Debugging-and-Theory.md,debugging and theory,debug and theory,References
614,mobile-shell,mosh,Design-wcwidth-replacement.md,design wcwidth replacement,design wcwidth replacement,References
615,mobile-shell,mosh,Build-Instructions.md,build instructions,build instruction,How
616,h5bp,Effeckt.css,Usage.md,usage,usage,How
617,h5bp,Effeckt.css,Module-Naming-Standards.md,module naming standards,module name standard,References
618,h5bp,Effeckt.css,Getting-Started.md,getting started,get start,How
619,h5bp,Effeckt.css,Code-Style-Guide.md,code style guide,code style guide,Contribuition
620,stylus,stylus,1.0.0.md,100,@NUMBER,When
621,stylus,stylus,Home.md,home,home,What
622,vectordotdev,vector,Testing-the-InfluxDB-sink.md,testing the influx db sink,test the influx db sink,How
623,vectordotdev,vector,Testing--the-Splunk-sink.md,testing the splunk sink,test the splunk sink,How
624,karpathy,char-rnn,Common-Issues.md,common issues,common issue,References
625,luin,ioredis,Migrating-from-node_redis.md,migrating from node redis,migrate from node redis,How
626,luin,ioredis,Upgrading-from-v4-to-v5.md,upgrading from v4 to v5,upgrade from @NUMBER to @NUMBER,How
627,luin,ioredis,Disable-ready-check.md,disable ready check,disable ready check,How
628,luin,ioredis,Breaking-changes-between-v1-and-v2.md,breaking changes between v1 and v2,break change between @NUMBER and @NUMBER,When
629,howdyai,botkit,Companies-Using-Botkit.md,companies using botkit,company use @PROJECT,Who
630,highcharts,highcharts,Tools:-Module-configurations.md,tools module configurations,tool module configuration,How
631,highcharts,highcharts,Tools:-tree.json.md,tools treejson,tool treejson,How
632,highcharts,highcharts,Home.md,home,home,What
633,highcharts,highcharts,Coding:-Replacing-wrap-with-event.md,coding replacing wrap with event,cod replace wrap with event,How
634,Wilfred,difftastic,Line-Based-Diffs.md,line based diffs,line base diffs,References
635,Wilfred,difftastic,Structural-Diffs.md,structural diffs,structural diffs,References
636,s0md3v,XSStrike,Usage.md,usage,usage,How
637,s0md3v,XSStrike,FAQ.md,faq,faq,References
638,s0md3v,XSStrike,Home.md,home,home,What
639,s0md3v,XSStrike,Comparing-XSStrike-with-other-XSS-Scanners.md,comparing xsstrike with other xss scanners,compare @PROJECT with other x scanner,Why
640,s0md3v,XSStrike,For-Developers.md,for developers,for developer,References
641,asciinema,asciinema,Getting-Started-Guide.md,getting started guide,get start guide,How
642,phalcon,cphalcon,Static-code-analyzers.md,static code analyzers,static code analyzer,References
643,phalcon,cphalcon,Dependent-Select-Dropdown.md,dependent select dropdown,dependent select dropdown,References
644,redis,jedis,FAQ.md,faq,faq,References
645,redis,jedis,ReleaseNotes.md,release notes,release note,When
646,redis,jedis,Getting-started.md,getting started,get start,How
647,redis,jedis,AdvancedUsage.md,advanced usage,advance usage,How
648,tymondesigns,jwt-auth,Authentication.md,authentication,authentication,How
649,tymondesigns,jwt-auth,Home.md,home,home,What
650,tymondesigns,jwt-auth,Configuration.md,configuration,configuration,How
651,tymondesigns,jwt-auth,Creating-Tokens.md,creating tokens,create token,How
652,tymondesigns,jwt-auth,Installation.md,installation,installation,How
653,brianc,node-postgres,FAQ.md,faq,faq,References
654,brianc,node-postgres,Testing.md,testing,test,How
655,brianc,node-postgres,Extras.md,extras,extra,References
656,HandBrake,HandBrake,Checksums.md,checksums,checksum,How
657,HandBrake,HandBrake,OpenPGP.md,open pgp,open pgp,References
658,HandBrake,HandBrake,Application-Information.md,application information,application information,References
659,git-lfs,git-lfs,File-Locking.md,file locking,file lock,How
660,git-lfs,git-lfs,Troubleshooting.md,troubleshooting,troubleshoot,How
661,git-lfs,git-lfs,Implementations.md,implementations,implementation,References
662,git-lfs,git-lfs,Tutorial.md,tutorial,tutorial,How
663,git-lfs,git-lfs,Installation.md,installation,installation,How
664,dbcli,mycli,Core-Team-Notes.md,core team notes,core team note,Contribuition
665,google,grumpy,Using-C-libraries-from-Python.md,using c libraries from python,use c library from python,How
666,google,grumpy,Missing-features.md,missing features,miss feature,When
667,google,grumpy,Standard-libraries:-guidelines-for-integration.md,standard libraries guidelines for integration,standard library guideline for integration,References
668,google,grumpy,Native-integration.md,native integration,native integration,References
669,restify,node-restify,0.5-to-1.0-Migration-Tips.md,05 to 10 migration tips,@NUMBER to @NUMBER migration tip,How
670,restify,node-restify,1.4-to-2.0-Migration-Tips.md,14 to 20 migration tips,@NUMBER to @NUMBER migration tip,How
671,wailsapp,wails,Changelog.md,changelog,changelog,When
672,wailsapp,wails,Post-V1-Enhancements.md,post v1 enhancements,post @NUMBER enhancement,When
673,PySimpleGUI,PySimpleGUI,Home.md,home,home,What
674,sql-js,sql.js,Persisting-a-Modified-Database.md,persisting a modified database,persist a modify database,How
675,davezuko,react-redux-starter-kit,Fractal-Project-Structure.md,fractal project structure,fractal project structure,References
676,davezuko,react-redux-starter-kit,FAQ:-Frequently-Asked-Questions.md,faq frequently asked questions,faq frequently ask question,References
677,frida,frida,Comparison-of-function-hooking-libraries.md,comparison of function hooking libraries,comparison of function hook library,Why
678,rust-lang,mdBook,Automated-Deployment:-GitHub-Pages.md,automated deployment git hub pages,automate deployment git hub page,How
679,rust-lang,mdBook,Automated-Deployment:-GitHub-Actions.md,automated deployment git hub actions,automate deployment git hub action,How
680,rust-lang,mdBook,Third-party-plugins.md,third party plugins,third party plugins,References
681,rust-lang,mdBook,Automated-Deployment:-Travis-CI.md,automated deployment travis ci,automate deployment travis ci,References
682,spencermountain,compromise,v12-Release-Notes.md,v12 release notes,@NUMBER release note,When
683,spencermountain,compromise,Home.md,home,home,What
684,spencermountain,compromise,Conduct-and-etiquette.md,conduct and etiquette,conduct and etiquette,Who
685,spencermountain,compromise,Contributing.md,contributing,contribute,Contribuition
686,spencermountain,compromise,"v7-Upgrade,-welcome.md",v7 upgrade welcome,@NUMBER upgrade welcome,How
687,argoproj,argo-cd,Application-details-page-design.md,application details page design,application detail page design,References
688,argoproj,argo-cd,Splunk.md,splunk,splunk,How
689,argoproj,argo-cd,Projects-feature-design.md,projects feature design,project feature design,References
690,kitao,pyxel,Pyxel-Q&A.md,pyxel qa,@PROJECT qa,References
691,kitao,pyxel,Pyxel-User-Examples.md,pyxel user examples,@PROJECT user example,References
692,OpenDiablo2,OpenDiablo2,ECS:-Scene-Systems.md,ecs scene systems,ec scene system,References
693,OpenDiablo2,OpenDiablo2,ECS:-Development-Guide.md,ecs development guide,ec development guide,How
694,dask,dask,GSOC-2021-Project-Ideas.md,gsoc 2021 project ideas,gsoc @YEAR project idea,When
695,dask,dask,Google-Summer-of-Code-Student-Instructions.md,google summer of code student instructions,google summer of code student instruction,References
696,dask,dask,GSOC-2019-Project-Ideas.md,gsoc 2019 project ideas,gsoc @YEAR project idea,When
697,WenchaoD,FSCalendar,Home.md,home,home,What
698,lnishan,awesome-competitive-programming,Reading-Guides.md,reading guides,read guide,How
699,python-pillow,Pillow,GSOC-Ideas.md,gsoc ideas,gsoc idea,When
700,FredrikNoren,ungit,Home.md,home,home,What
701,FredrikNoren,ungit,Startup-Script-for-Mac-OS-X.md,startup script for mac os x,startup script for mac os x,How
702,mono,mono,Labels-Guide.md,labels guide,label guide,Contribuition
703,mono,mono,Pull-Request-Guide.md,pull request guide,pull request guide,Contribuition
704,mono,mono,Triaging.md,triaging,triaging,Contribuition
705,Grasscutters,Grasscutter,Resources.md,resources,resource,References
706,Grasscutters,Grasscutter,Troubleshooting.md,troubleshooting,troubleshoot,How
707,Grasscutters,Grasscutter,Running.md,running,run,How
708,Grasscutters,Grasscutter,Commands.md,commands,command,References
709,afaqurk,linux-dash,Architecture.md,architecture,architecture,References
710,afaqurk,linux-dash,Features.md,features,feature,References
711,erlang,otp,Bug-reports.md,bug reports,bug report,References
712,erlang,otp,Writing-good-commit-messages.md,writing good commit messages,write good commit message,Contribuition
713,erlang,otp,Cipher-suite-correspondence-table.md,cipher suite correspondence table,cipher suite correspondence table,References
714,erlang,otp,Online-courses.md,online courses,online course,References
715,CISOfy,lynis,Developer-Guide.md,developer guide,developer guide,How
716,CISOfy,lynis,Creating-a-Lynis-translation.md,creating a lynis translation,create a @PROJECT translation,How
717,CISOfy,lynis,Home.md,home,home,What
718,CISOfy,lynis,Custom-Tests-and-Plugins.md,custom tests and plugins,custom test and plugins,How
719,yargs,yargs,Home.md,home,home,What
720,LunarVim,LunarVim,Temporary---Cleaning-up-readme.md,temporary cleaning up readme,temporary clean up readme,How
721,askmike,gekko,How-to-setup-VPS-on-Vultr.com-and-run-Gekko.md,how to setup vps on vultrcom and run gekko,how to setup vps on vultrcom and run @PROJECT,How
722,askmike,gekko,How-install-on-Pine64-Sopine-Board-(ARMv7).md,how install on pine64 sopine board armv7,how install on @NON_ENGLISH sopine board @NON_ENGLISH,How
723,askmike,gekko,Gekko-Background-Service-With-Systemd.md,gekko background service with systemd,@PROJECT background service with systemd,How
724,aFarkas,html5shiv,Home.md,home,home,What
725,apache,apisix,Open-Source-Promotion-Plan-Summer-2022.md,open source promotion plan summer 2022,open source promotion plan summer @YEAR,When
726,dbader,schedule,How-to-run-multiple-job-parallel-without-blocking-main-thread?.md,how to run multiple job parallel without blocking main thread,how to run multiple job parallel without block main thread,How
727,matrix-org,synapse,Workers-setup-with-nginx.md,workers setup with nginx,worker setup with nginx,How
728,Anarios,return-youtube-dislike,Troubleshooting-Guide.md,troubleshooting guide,troubleshoot guide,How
729,Anarios,return-youtube-dislike,"Downloading,-Installing-&-Using.md",downloading installing using,download instal use,How
730,cheat,cheat,Related-Projects.md,related projects,relate project,References
731,reasonml,reason,OCaml-Ecosystem-Extensions-List.md,ocaml ecosystem extensions list,ocaml ecosystem extension list,References
732,reasonml,reason,Proposals.md,proposals,proposal,When
733,mwaskom,seaborn,Frequently-Asked-Questions-(FAQs).md,frequently asked questions faqs,frequently ask question faq,References
734,gleitz,howdoi,Home.md,home,home,What
735,Atmosphere-NX,Atmosphere,Memory-Comparisons.md,memory comparisons,memory comparison,Why
736,KurtBestor,Hitomi-Downloader,How-to-write-a-script.md,how to write a script,how to write a script,How
737,KurtBestor,Hitomi-Downloader,Scripts-&-Plugins.md,scripts plugins,script plugins,References
738,vue-bulma,vue-admin,Home.md,home,home,What
739,vue-bulma,vue-admin,Guide.md,guide,guide,How
740,vue-bulma,vue-admin,Project-Structure.md,project structure,project structure,References
741,senchalabs,connect,Connect-3.0.md,connect 30,@PROJECT @NUMBER,When
742,Quick,Quick,Who-uses-Quick.md,who uses quick,who use @PROJECT,Who
743,Quick,Quick,Projects-using-Quick.md,projects using quick,project use @PROJECT,Who
744,Zulko,moviepy,How-to-create-a-release.md,how to create a release,how to create a release,Contribuition
745,hackjutsu,Lepton,FAQ.md,faq,faq,References
746,hackjutsu,Lepton,Configuration.md,configuration,configuration,How
747,opencontainers,runc,Ubuntu-14.04---Mint17-and-runc.md,ubuntu 1404 mint17 and runc,ubuntu @NUMBER @NON_ENGLISH and @PROJECT,How
748,cure53,DOMPurify,Security-Goals-&-Threat-Model.md,security goals threat model,security goal threat model,How
749,cure53,DOMPurify,Default-TAGs-ATTRIBUTEs-allow-list-&-blocklist.md,default tags attributes allow list blocklist,default tag attribute allow list blocklist,References
750,mdbootstrap,Tailwind-Elements,FAQ.md,faq,faq,References
751,mdbootstrap,Tailwind-Elements,Caveats.md,caveats,caveat,References
752,GoogleChromeLabs,quicklink,FAQ.md,faq,faq,References
753,apidoc,apidoc,Custom-markdown-parser.md,custom markdown parser,custom markdown parser,References
754,apidoc,apidoc,Hooks.md,hooks,hook,References
755,DevExpress,testcafe,Debugging-TestRun.md,debugging test run,debug test run,How
756,DevExpress,testcafe,How-to-publish-the-website-on-GitHub-Pages.md,how to publish the website on git hub pages,how to publish the website on git hub page,How
757,DevExpress,testcafe,TestCafe-versioning.md,test cafe versioning,test cafe versioning,Contribuition
758,spotDL,spotify-downloader,Available-options.md,available options,available option,References
759,spotDL,spotify-downloader,FAQ.md,faq,faq,References
760,spotDL,spotify-downloader,spotDL-v2-Archive.md,spot dl v2 archive,spot dl @NUMBER archive,How
761,spotDL,spotify-downloader,v3-Installation.md,v3 installation,@NUMBER installation,How
762,spotDL,spotify-downloader,Instructions-for-Downloading-Songs.md,instructions for downloading songs,instruction for download song,How
763,ydataai,pandas-profiling,Spark-Development-Plan.md,spark development plan,spark development plan,When
764,dotnet,blazor,FAQ.md,faq,faq,References
765,addyosmani,backbone-fundamentals,Rough.md,rough,rough,References
766,FormidableLabs,spectacle,Spectacle-Roadmap.md,spectacle roadmap,@PROJECT roadmap,When
767,zerotier,ZeroTierOne,Unix-Like-OS-Users'-Guide.md,unix like os users guide,unix like os user guide,How
768,zerotier,ZeroTierOne,Command-Line-Interface.md,command line interface,command line interface,References
769,zerotier,ZeroTierOne,The-NAT-Router-House-of-Pain.md,the nat router house of pain,the nat router house of pain,References
770,zerotier,ZeroTierOne,AppsForVirtualLANs.md,apps for virtual lans,apps for virtual lan,References
771,gomodule,redigo,FAQ.md,faq,faq,References
772,aksakalli,gtop,Windows-Command-Prompt-Font-Support.md,windows command prompt font support,window command prompt font support,References
773,raspberrypi,linux,config.txt.md,configtxt,configtxt,How
774,raspberrypi,linux,Upstreaming.md,upstreaming,upstreaming,When
775,raspberrypi,linux,Home.md,home,home,What
776,vercel,vercel,Creating-a-Release.md,creating a release,create a release,Contribuition
777,rough-stuff,wired-elements,Dev-Environment.md,dev environment,dev environment,How
778,rough-stuff,wired-elements,Desired-New-Elements.md,desired new elements,desire new element,References
779,MacDownApp,macdown,Building-MacDown.md,building mac down,build mac down,How
780,MacDownApp,macdown,Advanced-Usage.md,advanced usage,advance usage,How
781,aws,aws-cdk,Triage-Workflow.md,triage workflow,triage workflow,References
782,aws,aws-cdk,CannedResponses.md,canned responses,can response,References
783,aws,aws-cdk,Advanced-Videos.md,advanced videos,advance video,References
784,aws,aws-cdk,NPM-Library-Versioning.md,npm library versioning,npm library versioning,How
785,aws,aws-cdk,Getting-Started-Videos.md,getting started videos,get start video,How
786,libevent,libevent,ReleaseChecklist.md,release checklist,release checklist,Contribuition
787,libevent,libevent,Wishlist.md,wishlist,wishlist,When
788,Shopify,sarama,Cluster-metadata.md,cluster metadata,cluster metadata,References
789,Shopify,sarama,Reading-Backtraces.md,reading backtraces,read backtraces,References
790,Shopify,sarama,Producer-implementation.md,producer implementation,producer implementation,How
791,Shopify,sarama,Home.md,home,home,What
792,Shopify,sarama,Frequently-Asked-Questions.md,frequently asked questions,frequently ask question,References
793,Shopify,sarama,Consumer-implementation.md,consumer implementation,consumer implementation,References
794,Shopify,sarama,Ideas-that-will-break-backwards-compatibility.md,ideas that will break backwards compatibility,idea that will break backwards compatibility,When
795,guillaumepotier,Parsley.js,Remove-jQuery-dependency.md,remove jquery dependency,remove jquery dependency,How
796,android,ndk-samples,Home.md,home,home,What
797,android,ndk-samples,Configure-NDK-Path.md,configure ndk path,configure ndk path,How
798,cs231n,cs231n.github.io,HyperQuest.md,hyper quest,hyper quest,References
799,pyodide,pyodide,Packaging.md,packaging,package,How
800,pyodide,pyodide,GSOC-2022.md,gsoc 2022,gsoc @YEAR,When
801,nasa,fprime,Pull-Request-Template.md,pull request template,pull request template,Contribuition
802,gildas-lormeau,SingleFile,"How-to-integrate-SingleFile-library-code-in-""custom""-environments?.md",how to integrate single file library code in custom environments,how to integrate @PROJECT library code in custom environment,How
803,gildas-lormeau,SingleFile,Home.md,home,home,What
804,gildas-lormeau,SingleFile,How-to-publish-saved-pages-with-SingleFile-on-GitHub.md,how to publish saved pages with single file on git hub,how to publish save page with @PROJECT on git hub,How
805,gildas-lormeau,SingleFile,How-to-integrate-the-API-of-SingleFile-into-an-extension.md,how to integrate the api of single file into an extension,how to integrate the api of @PROJECT into an extension,How
806,gildas-lormeau,SingleFile,How-to-execute-a-user-script-before-a-page-is-saved.md,how to execute a user script before a page is saved,how to execute a user script before a page is save,How
807,gildas-lormeau,SingleFile,Hidden-options.md,hidden options,hide option,References
808,ultralytics,yolov3,Docker-Quickstart.md,docker quickstart,docker quickstart,How
809,ultralytics,yolov3,GCP-Quickstart.md,gcp quickstart,gcp quickstart,How
810,ultralytics,yolov3,Tips-for-Best-Training-Results.md,tips for best training results,tip for best train result,References
811,ultralytics,yolov3,Home.md,home,home,What
812,ultralytics,yolov3,AWS-Quickstart.md,aws quickstart,aws quickstart,How
813,ultralytics,yolov3,Train-Custom-Data.md,train custom data,train custom data,How
814,mozilla,BrowserQuest,Community-Forks.md,community forks,community fork,References
815,mozilla,BrowserQuest,Quick-Start-using-Amazon-EC2.md,quick start using amazon ec2,quick start use amazon @NON_ENGLISH,How
816,s0md3v,Photon,Photon-Library.md,photon library,@PROJECT library,References
817,s0md3v,Photon,Usage.md,usage,usage,How
818,s0md3v,Photon,Guidelines.md,guidelines,guideline,Contribuition
819,s0md3v,Photon,Home.md,home,home,What
820,YiiGuxing,TranslationPlugin,Getting-Started.md,getting started,get start,How
821,facebook,chisel,findinstances.md,findinstances,findinstances,References
822,facebook,chisel,Home.md,home,home,What
