,repository,file,page,abstracted_page
693,browserify/browserify,browserify-tools.md,browserify tools,@PROJECT tool
694,browserify/browserify,browserify-in-the-wild.md,browserify in the wild,@PROJECT in the wild
695,browserify/browserify,browserify-in-the-blogosphere.md,browserify in the blogosphere,@PROJECT in the blogosphere
696,nrwl/nx,Breaking-Changes.md,breaking changes,break change
697,nrwl/nx,Resolving-Circular-Dependencies.md,resolving circular dependencies,resolve circular dependency
698,google/libphonenumber,Android-Studio-setup.md,android studio setup,android studio setup
699,google/libphonenumber,How-to-integrate-the-Java-version-in-your-Maven-project.md,how to integrate the java version in your maven project,how to integrate the java version in your maven project
700,microsoft/LightGBM,_Sidebar.md,sidebar,sidebar
701,wting/autojump,Home.md,home,home
702,yiisoft/yii2,PSR-adoption.md,psr adoption,psr adoption
703,yiisoft/yii2,Home.md,home,home
704,yiisoft/yii2,Communities.md,communities,community
705,yiisoft/yii2,Yii2-2.0.0-Development-Roadmap.md,yii2 200 development roadmap,@PROJECT @NUMBER development roadmap
706,yiisoft/yii2,Builds-summary.md,builds summary,build summary
707,huggingface/datasets,Roadmap.md,roadmap,roadmap
708,hashicorp/packer,Using-packer-on-Mac-OS-X-with-boot2docker.md,using packer on mac os x with boot2docker,use @PROJECT on mac os x with @NON_ENGLISH
709,hashicorp/packer,[Reslove-IT]-SSH-timeout-problem-when-use-centos7-kickstarter-within-the-kvm-builder.md,reslove it ssh timeout problem when use centos7 kickstarter within the kvm builder,reslove it ssh timeout problem when use @NON_ENGLISH kickstarter within the kvm builder
710,hashicorp/packer,Real-world-Ubuntu-example.md,real world ubuntu example,real world ubuntu example
711,textmate/textmate,Settings.md,settings,setting
712,textmate/textmate,Folder-Specific-Settings.md,folder specific settings,folder specific setting
713,textmate/textmate,FAQ.md,faq,faq
714,textmate/textmate,Hidden-Settings.md,hidden settings,hide setting
715,textmate/textmate,Hacking-on-the-Code.md,hacking on the code,hack on the code
716,textmate/textmate,Writing-Bug-Reports.md,writing bug reports,write bug report
717,textmate/textmate,Issue-Tracker.md,issue tracker,issue tracker
718,gpujs/gpu.js,Quick-Concepts.md,quick concepts,quick concept
719,gpujs/gpu.js,Temp-Submission-Page.md,temp submission page,temp submission page
720,microsoft/recommenders,Documents-and-Presentations.md,documents and presentations,document and presentation
721,microsoft/recommenders,Test-Strategy.md,test strategy,test strategy
722,microsoft/recommenders,How-to-add-your-name-as-a-contributor-to-the-repo.md,how to add your name as a contributor to the repo,how to add your name as a contributor to the repo
723,microsoft/recommenders,Coding-Guidelines.md,coding guidelines,code guideline
724,microsoft/recommenders,Strategy-to-merge-the-code-to-main-branch.md,strategy to merge the code to main branch,strategy to merge the code to main branch
725,verdaccio/verdaccio,Developing-new-tests.md,developing new tests,develop new test
726,verdaccio/verdaccio,Debugging-Verdaccio.md,debugging verdaccio,debug @PROJECT
727,apache/incubator-brpc,Maturity-Assessment-for-bRPC.md,maturity assessment for brpc,maturity assessment for brpc
728,deviantony/docker-elk,Elasticsearch-cluster.md,elasticsearch cluster,elasticsearch cluster
729,deviantony/docker-elk,External-applications.md,external applications,external application
730,justauth/JustAuth,Home.md,home,home
731,liabru/matter-js,Creating-plugins.md,creating plugins,create plugins
732,liabru/matter-js,Running.md,running,run
733,liabru/matter-js,Gallery.md,gallery,gallery
734,liabru/matter-js,Getting-started.md,getting started,get start
735,liabru/matter-js,Home.md,home,home
736,liabru/matter-js,Tutorials.md,tutorials,tutorial
737,liabru/matter-js,Rendering.md,rendering,render
738,liabru/matter-js,Using-plugins.md,using plugins,use plugins
739,liabru/matter-js,List-of-plugins.md,list of plugins,list of plugins
740,android-hacker/VirtualXposed,Difference-between-Xposed-and-VirtualXposed.md,difference between xposed and virtual xposed,difference between xposed and @PROJECT
741,android-hacker/VirtualXposed,Google-service-support.md,google service support,google service support
742,android-hacker/VirtualXposed,Privacy-control(XPrivacyLua).md,privacy control xprivacy lua,privacy control xprivacy lua
743,android-hacker/VirtualXposed,How-does-VirtualXposed-work.md,how does virtual xposed work,how do @PROJECT work
744,trufflesuite/truffle,FAQ.md,faq,faq
745,trufflesuite/truffle,Using-Truffle-and-Webpack-(beta).md,using truffle and webpack beta,use @PROJECT and webpack beta
746,trufflesuite/truffle,Migrating-from-v0.2.x-to-v0.3.0.md,migrating from v02x to v030,migrate from @NUMBER to @NUMBER
747,microsoft/AirSim,An-Orbit-Trajectory.md,an orbit trajectory,an orbit trajectory
748,microsoft/AirSim,hexacopter.md,hexacopter,hexacopter
749,microsoft/AirSim,Capturing-video-using-Unreal-PixelStreamer.md,capturing video using unreal pixel streamer,capture video use unreal pixel streamer
750,microsoft/AirSim,Rapid-Descent-on-PX4-drones.md,rapid descent on px4 drones,rapid descent on @NON_ENGLISH drone
751,microsoft/AirSim,DroneBlocks.md,drone blocks,drone block
752,microsoft/AirSim,Intercepting-MavLink-messages.md,intercepting mav link messages,intercept mav link message
753,microsoft/AirSim,Implementing-a-Drone-Survey-script.md,implementing a drone survey script,implement a drone survey script
754,froala/design-blocks,How-to-create-New-Design-Blocks.md,how to create new design blocks,how to create new @PROJECT
755,chatwoot/chatwoot,Building-on-Top-of-Chatwoot:-Importing-Existing-Contacts-and-Creating-Conversations.md,building on top of chatwoot importing existing contacts and creating conversations,build on top of @PROJECT import exist contact and create conversation
756,chatwoot/chatwoot,Building-on-Top-of-Chatwoot:-Platform-APIs.md,building on top of chatwoot platform apis,build on top of @PROJECT platform apis
757,pulumi/pulumi,New-Language-Bring-Up.md,new language bring up,new language bring up
758,pulumi/pulumi,Roadmap.md,roadmap,roadmap
759,microsoft/WSL,Ship-WSL-2-Linux-Kernel.md,ship wsl 2 linux kernel,ship @PROJECT @NUMBER linux kernel
760,williamfiset/Algorithms,Slide-review-process.md,slide review process,slide review process
761,williamfiset/Algorithms,Home.md,home,home
762,angular/angular-seed,Home.md,home,home
763,louischatriot/nedb,Removing-documents.md,removing documents,remove document
764,louischatriot/nedb,Indexing.md,indexing,index
765,louischatriot/nedb,Home.md,home,home
766,louischatriot/nedb,Inserting-documents.md,inserting documents,insert document
767,louischatriot/nedb,Finding-documents.md,finding documents,find document
768,louischatriot/nedb,Updating-documents.md,updating documents,update document
769,louischatriot/nedb,Change-log.md,change log,change log
770,louischatriot/nedb,Creating-loading-the-database.md,creating loading the database,create load the database
771,louischatriot/nedb,Api-reference.md,api reference,api reference
772,eclipse-vertx/vert.x,Guide-for-module-maintainers.md,guide for module maintainers,guide for module maintainer
773,eclipse-vertx/vert.x,Useful-Vert.x-components-and-modules.md,useful vertx components and modules,useful @PROJECT component and module
774,eclipse-vertx/vert.x,Vert.x-Media-Articles.md,vertx media articles,@PROJECT medium article
775,BrainJS/brain.js,Home.md,home,home
776,BrainJS/brain.js,Roadmap.md,roadmap,roadmap
777,jsdoc/jsdoc,Version-3.0-roadmap.md,version 30 roadmap,version @NUMBER roadmap
778,jsdoc/jsdoc,Project-roadmap.md,project roadmap,project roadmap
779,OpenGenus/cosmos,maintainers.md,maintainers,maintainer
780,OpenGenus/cosmos,contribute.md,contribute,contribute
781,OpenGenus/cosmos,Home.md,home,home
782,OpenGenus/cosmos,contributors.md,contributors,contributor
783,OpenGenus/cosmos,Browse.md,browse,browse
784,OpenGenus/cosmos,Idea-List.md,idea list,idea list
785,golang/dep,Roadmap.md,roadmap,roadmap
786,microsoft/dotnet,Open-Source-.NET-Project-Links.md,open source net project links,open source net project link
787,microsoft/dotnet,Home.md,home,home
788,ramitsurana/awesome-kubernetes,Awesome---Kubernetes.md,awesome kubernetes,@PROJECT
789,umijs/umi,Migrate-Plugins-to-Umi-3.md,migrate plugins to umi 3,migrate plugins to @PROJECT @NUMBER
790,cubiq/iscroll,v5-Features-Roadmap.md,v5 features roadmap,@NUMBER feature roadmap
791,NodeBB/NodeBB,Widgets-System.md,widgets system,widget system
792,NodeBB/NodeBB,Home.md,home,home
793,NodeBB/NodeBB,Version-History-&-Roadmap.md,version history roadmap,version history roadmap
794,NodeBB/NodeBB,Hooks.md,hooks,hook
795,CoatiSoftware/Sourcetrail,Version-Numbers.md,version numbers,version number
796,CoatiSoftware/Sourcetrail,Profiling.md,profiling,profile
797,selectize/selectize.js,Reporting-issues-guide.md,reporting issues guide,report issue guide
798,selectize/selectize.js,How-to-make-a-great-reproduction-case.md,how to make a great reproduction case,how to make a great reproduction case
799,selectize/selectize.js,Issue-triage-and-priority.md,issue triage and priority,issue triage and priority
800,filp/whoops,Possible-features-to-add.md,possible features to add,possible feature to add
801,apprenticeharper/DeDRM_tools,Installing-ADE-on-Arch-Linux-via-WINE.md,installing ade on arch linux via wine,install ade on arch linux via wine
802,apprenticeharper/DeDRM_tools,adeinstaller.sh.md,adeinstallersh,adeinstallersh
803,apprenticeharper/DeDRM_tools,Exactly-how-to-remove-DRM.md,exactly how to remove drm,exactly how to remove drm
804,turbolinks/turbolinks,VueJs-and-Turbolinks.md,vue js and turbolinks,vue js and @PROJECT
805,turbolinks/turbolinks,Turbolinks-5-FAQ.md,turbolinks 5 faq,@PROJECT @NUMBER faq
806,kubernetes-sigs/kubespray,Add-SLB-for-kargo-cluster..md,add slb for kargo cluster,add slb for kargo cluster
807,saltstack/salt,Cheat-Sheet.md,cheat sheet,cheat sheet
808,saltstack/salt,Home.md,home,home
809,saltstack/salt,December-2015-Sprint-Beginner-Bug-List.md,december 2015 sprint beginner bug list,@MONTH @YEAR sprint beginner bug list
810,saltstack/salt,December-2015-Sprint-Advanced-Bug-List.md,december 2015 sprint advanced bug list,@MONTH @YEAR sprint advance bug list
811,saltstack/salt,Release-Checklist.md,release checklist,release checklist
812,saltstack/salt,What-is-salt?.md,what is salt,what is @PROJECT
813,horovod/horovod,TSC-Meeting-Notes.md,tsc meeting notes,tsc meet note
814,davidsandberg/facenet,Variational-autoencoder.md,variational autoencoder,variational autoencoder
815,davidsandberg/facenet,Validate-on-LFW.md,validate on lfw,validate on lfw
816,davidsandberg/facenet,Train-a-classifier-on-own-images.md,train a classifier on own images,train a classifier on own image
817,davidsandberg/facenet,Home.md,home,home
818,davidsandberg/facenet,Triplet-loss-training.md,triplet loss training,triplet loss train
819,davidsandberg/facenet,Training-using-the-VGGFace2-dataset.md,training using the vggface2 dataset,train use the @NON_ENGLISH dataset
820,davidsandberg/facenet,Classifier-training-of-inception-resnet-v1.md,classifier training of inception resnet v1,classifier train of inception resnet @NUMBER
821,node-inspector/node-inspector,Developer-Guide.md,developer guide,developer guide
822,node-inspector/node-inspector,Contributing.md,contributing,contribute
823,Ryujinx/Ryujinx,Firmware-Dumping-Guide-(hbmenu-&-Goldleaf).md,firmware dumping guide hbmenu goldleaf,firmware dump guide hbmenu goldleaf
824,Ryujinx/Ryujinx,Changelog.md,changelog,changelog
825,Ryujinx/Ryujinx,Home.md,home,home
826,Ryujinx/Ryujinx,Linux-Setup-Guide-(draft).md,linux setup guide draft,linux setup guide draft
827,Ryujinx/Ryujinx,Keys.md,keys,key
828,Ryujinx/Ryujinx,Ryujinx-Setup-&-Configuration-Guide.md,ryujinx setup configuration guide,@PROJECT setup configuration guide
829,Ryujinx/Ryujinx,Frequently-Asked-Questions.md,frequently asked questions,frequently ask question
830,Ryujinx/Ryujinx,Multiplayer-(LDN-Local-Wireless)-Guide.md,multiplayer ldn local wireless guide,multiplayer ldn local wireless guide
831,Ryujinx/Ryujinx,How-to-Change-Your-Player-Name-and-Town-Name-with-Animal-Crossing:-New-Horizons-Renamer.md,how to change your player name and town name with animal crossing new horizons renamer,how to change your player name and town name with animal cross new horizon renamer
832,thephpleague/flysystem,Adapter-Internals.md,adapter internals,adapter internals
833,eclipse/deeplearning4j,Deeplearning4j-Code-of-Conduct.md,deeplearning4j code of conduct,@PROJECT code of conduct
834,facebook/stetho,Release-instructions.md,release instructions,release instruction
835,facebook/stetho,FAQ.md,faq,faq
836,openstf/stf,[ja]-Remote-Debug.md,ja remote debug,ja remote debug
837,openstf/stf,[en]-Remote-Shell.md,en remote shell,remote shell
838,openstf/stf,ADB-over-tcp-stress-testing.md,adb over tcp stress testing,adb over tcp stress test
839,openstf/stf,[en]-Remote-Debug.md,en remote debug,remote debug
840,openstf/stf,[en]-ADB-Keys.md,en adb keys,adb key
841,openstf/stf,[ja]-ADB-Keys.md,ja adb keys,ja adb key
842,vicc/chameleon,Colors-From-Images.md,colors from images,color from image
843,vicc/chameleon,UIColor-Methods.md,uicolor methods,uicolor method
844,vicc/chameleon,Color-Scheme-Methods.md,color scheme methods,color scheme method
845,vicc/chameleon,Theme-Methods.md,theme methods,theme method
846,vicc/chameleon,_Sidebar.md,sidebar,sidebar
847,go-sql-driver/mysql,Examples.md,examples,example
848,go-sql-driver/mysql,old_passwords.md,old passwords,old password
849,go-sql-driver/mysql,Development-Ideas.md,development ideas,development idea
850,qax-os/excelize,One-time-Donations.md,one time donations,one time donation
851,qax-os/excelize,Home.md,home,home
852,umami-software/umami,Missing-translations.md,missing translations,miss translation
853,deepinsight/insightface,Tutorial:-Deploy-Face-Recognition-Model-via-TVM.md,tutorial deploy face recognition model via tvm,tutorial deploy face recognition model via tvm
854,deepinsight/insightface,TVM-Benchmark.md,tvm benchmark,tvm benchmark
855,koekeishiya/yabai,Disabling-System-Integrity-Protection.md,disabling system integrity protection,disable system integrity protection
856,koekeishiya/yabai,Commands.md,commands,command
857,koekeishiya/yabai,Installing-yabai-(from-HEAD).md,installing yabai from head,install @PROJECT from head
858,koekeishiya/yabai,Home.md,home,home
859,koekeishiya/yabai,Configuration.md,configuration,configuration
860,koekeishiya/yabai,_Sidebar.md,sidebar,sidebar
861,koekeishiya/yabai,Tips-and-tricks.md,tips and tricks,tip and trick
862,koekeishiya/yabai,Installing-yabai-(latest-release).md,installing yabai latest release,install @PROJECT latest release
863,uutils/coreutils,Supporting-SELinux-in-the-coreutils.md,supporting selinux in the coreutils,support selinux in the @PROJECT
864,uutils/coreutils,GSOC-Project-Ideas.md,gsoc project ideas,gsoc project idea
865,uutils/coreutils,Home.md,home,home
866,php-fig/fig-standards,PSR-4-Example-Implementations.md,psr 4 example implementations,psr @NUMBER example implementation
867,php-fig/fig-standards,Further-Style-Guide-Considerations.md,further style guide considerations,further style guide consideration
868,mame/quine-relay,Installation.md,installation,installation
869,CodeEditApp/CodeEdit,Developer-Docs.md,developer docs,developer doc
870,CodeEditApp/CodeEdit,Code-Style.md,code style,code style
871,CodeEditApp/CodeEdit,Troubleshooting.md,troubleshooting,troubleshoot
872,CodeEditApp/CodeEdit,Terminology.md,terminology,terminology
873,CodeEditApp/CodeEdit,Getting-Started.md,getting started,get start
874,CodeEditApp/CodeEdit,Theme-Structure.md,theme structure,theme structure
875,zhihu/Matisse,Basic-Usage.md,basic usage,basic usage
876,zhihu/Matisse,Theme.md,theme,theme
877,pinpoint-apm/pinpoint,Technical-Overview-Of-Pinpoint.md,technical overview of pinpoint,technical overview of @PROJECT
878,pinpoint-apm/pinpoint,Home.md,home,home
879,Tencent/rapidjson,Related-Projects.md,related projects,relate project
880,raywenderlich/swift-style-guide,lab2.md,lab2,@NON_ENGLISH
881,docker/kitematic,Early-Linux-Development.md,early linux development,early linux development
882,docker/kitematic,Common-Proxy-Issues-&-Fixes.md,common proxy issues fixes,common proxy issue fix
883,docker/kitematic,Machine-Management.md,machine management,machine management
884,docker/kitematic,Common-Issues-and-Fixes.md,common issues and fixes,common issue and fix
885,docker/kitematic,Current-and-Future-list-items.md,current and future list items,current and future list item
886,jupyterlab/jupyterlab,TypeScript-Style-Guide.md,type script style guide,type script style guide
887,daimajia/AndroidSwipeLayout,Usage.md,usage,usage
888,daimajia/AndroidSwipeLayout,SwipeAdapter.md,swipe adapter,swipe adapter
889,robbiehanson/CocoaAsyncSocket,Intro.md,intro,intro
890,robbiehanson/CocoaAsyncSocket,CommonPitfalls.md,common pitfalls,common pitfall
891,robbiehanson/CocoaAsyncSocket,ARC.md,arc,arc
892,robbiehanson/CocoaAsyncSocket,Reference_GCDAsyncSocket.md,reference gcdasync socket,reference gcdasync socket
893,robbiehanson/CocoaAsyncSocket,Intro_GCDAsyncSocket.md,intro gcdasync socket,intro gcdasync socket
894,lit/lit,Lit-2.0-Upgrade-Guide.md,lit 20 upgrade guide,@PROJECT @NUMBER upgrade guide
895,lit/lit,How-it-Works.md,how it works,how it work
896,lit/lit,About-Lit-2.0.md,about lit 20,about @PROJECT @NUMBER
897,gaearon/react-hot-loader,How-React-Hot-Loader-works.md,how react hot loader works,how @PROJECT work
898,daimajia/AndroidViewAnimations,Home.md,home,home
899,dzenbot/DZNEmptyDataSet,Projects-using-DZNEmptyDataSet.md,projects using dznempty data set,project use @PROJECT
900,zenorocha/alfred-workflows,Extras.md,extras,extra
901,webrtc/samples,AppRTC-URL-parameter-guide.md,app rtc url parameter guide,app rtc url parameter guide
902,gizak/termui,Home.md,home,home
903,dense-analysis/ale,ALE-Development-Philosophy.md,ale development philosophy,@PROJECT development philosophy
904,dense-analysis/ale,JavaScript-and-TypeScript-integration.md,java script and type script integration,java script and type script integration
905,dense-analysis/ale,Home.md,home,home
906,dense-analysis/ale,Java.md,java,java
907,dense-analysis/ale,Eclipse-Java-Language-Server-(jdtls).md,eclipse java language server jdtls,eclipse java language server jdtls
908,RustPython/RustPython,Redox-OS.md,redox os,redox os
909,RustPython/RustPython,Python-Attributes.md,python attributes,python attribute
910,RustPython/RustPython,uftrace.md,uftrace,uftrace
911,RustPython/RustPython,WASM-Crate-Architecture.md,wasm crate architecture,wasm crate architecture
912,RustPython/RustPython,Debugger-with-VSCode.md,debugger with vscode,debugger with vscode
913,RustPython/RustPython,How-to-update-test-files.md,how to update test files,how to update test file
914,kyleneideck/BackgroundMusic,Installer-Problems?.md,installer problems,installer problem
915,kyleneideck/BackgroundMusic,App-Volumes-Fixes.md,app volumes fixes,app volume fix
916,kyleneideck/BackgroundMusic,Getting-Debug-Logs.md,getting debug logs,get debug log
917,kyleneideck/BackgroundMusic,Installing-from-Source-Code.md,installing from source code,install from source code
918,kaldi-asr/kaldi,Home.md,home,home
919,kaldi-asr/kaldi,std::numeric_limits.md,stdnumeric limits,stdnumeric limit
920,rizinorg/cutter,Home.md,home,home
921,influxdata/telegraf,Compiling-a-dynamically-linked-plugin.md,compiling a dynamically linked plugin,compile a dynamically link plugin
922,mengshukeji/Luckysheet,User-Guide.md,user guide,user guide
923,tj/co,Home.md,home,home
924,blitz-js/blitz,Home.md,home,home
925,blitz-js/blitz,How-to-Run-Prisma-Studio-in-Production-on-Render.com.md,how to run prisma studio in production on rendercom,how to run prisma studio in production on rendercom
926,blitz-js/blitz,How-To-Impersonate-Other-Users.md,how to impersonate other users,how to impersonate other user
927,PuerkitoBio/goquery,Tips-and-tricks.md,tips and tricks,tip and trick
928,RelaxedJS/ReLaXed,Command-line-options.md,command line options,command line option
929,RelaxedJS/ReLaXed,Troubleshooting.md,troubleshooting,troubleshoot
930,RelaxedJS/ReLaXed,CLI-goodies.md,cli goodies,cli goody
931,RelaxedJS/ReLaXed,ReLaXed-vs-other-solutions.md,re la xed vs other solutions,@PROJECT vs other solution
932,RelaxedJS/ReLaXed,Plugins.md,plugins,plugins
933,RelaxedJS/ReLaXed,Page-formating.md,page formating,page format
934,RelaxedJS/ReLaXed,Tips-and-recommendations.md,tips and recommendations,tip and recommendation
935,RelaxedJS/ReLaXed,Special-file-renderings.md,special file renderings,special file render
936,video-dev/hls.js,v0.13.0-Release-Plan-&-Test-Matrix.md,v0130 release plan test matrix,@NUMBER release plan test matrix
937,video-dev/hls.js,"Minutes---March-27,-2019.md",minutes march 27 2019,minute @MONTH @MONTH @YEAR
938,video-dev/hls.js,[2018.10.9]-Bi-weekly-Call.md,2018109 bi weekly call,@NUMBER bi weekly call
939,video-dev/hls.js,1-16-19-Meeting-Minutes.md,1 16 19 meeting minutes,@NUMBER @NUMBER @NUMBER meet minute
940,video-dev/hls.js,1.0-Planning.md,10 planning,@NUMBER plan
941,aurelia/framework,My-Dream-Editor.md,my dream editor,my dream editor
942,aurelia/framework,Ideas-for-an-i18n-module.md,ideas for an i18n module,idea for an @NON_ENGLISH module
943,dotnet/efcore,Visual-Studio-Publish-Integration.md,visual studio publish integration,visual studio publish integration
944,dotnet/efcore,Guiding-Principles.md,guiding principles,guide principle
945,dotnet/efcore,Security.md,security,security
946,alibaba/tengine,Roadmap.md,roadmap,roadmap
947,kubernetes/dashboard,Roadmap.md,roadmap,roadmap
948,sindresorhus/pure,FAQ-Archive.md,faq archive,faq archive
949,sindresorhus/pure,Color-schemes.md,color schemes,color scheme
950,sindresorhus/pure,"Customizations,-hacks-and-tweaks.md",customizations hacks and tweaks,customizations hack and tweak
951,sindresorhus/pure,Inspired-work.md,inspired work,inspire work
952,scottbez1/smartknob,Motor-Status.md,motor status,motor status
953,xmartlabs/Eureka,Eureka-Rows.md,eureka rows,@PROJECT row
954,hotwired/stimulus,Controllers-and-Extensions.md,controllers and extensions,controller and extension
955,hotwired/stimulus,Home.md,home,home
956,jessepollak/card,Home-::-Wiki.md,home wiki,home wiki
957,h4cc/awesome-elixir,Sorted-Most-Popular-Awesome-Elixir-GitHub-Projects.md,sorted most popular awesome elixir git hub projects,sort most popular @PROJECT git hub project
958,OI-wiki/OI-wiki,Roadmap.md,roadmap,roadmap
959,Matt-Esch/virtual-dom,Home.md,home,home
960,pybind/pybind11,Roadmap.md,roadmap,roadmap
961,pybind/pybind11,Debugging-segfaults-and-hard-to-decipher-pybind11-bugs.md,debugging segfaults and hard to decipher pybind11 bugs,debug segfaults and hard to decipher @PROJECT bug
962,compiler-explorer/compiler-explorer,FAQ.md,faq,faq
963,google/brotli,Building-Windows-Artifacts.md,building windows artifacts,build window artifact
964,google/brotli,Fetch-Specification.md,fetch specification,fetch specification
965,wenzhixin/bootstrap-table,Online-Editor-Explanation.md,online editor explanation,online editor explanation
966,ptmt/react-native-macos,FAQ-draft.md,faq draft,faq draft
967,ptmt/react-native-macos,Updating-from-an-existing-project-to-version-0.18.x.md,updating from an existing project to version 018x,update from an exist project to version @NUMBER
968,realm/realm-java,Release-Checklist.md,release checklist,release checklist
969,akveo/blur-admin,How-to-change-color-scheme.md,how to change color scheme,how to change color scheme
970,pagehelper/Mybatis-PageHelper,QA.md,qa,qa
971,gopherjs/gopherjs,JavaScript-Tips-and-Gotchas.md,java script tips and gotchas,java script tip and gotchas
972,gopherjs/gopherjs,Bindings.md,bindings,bind
973,gopherjs/gopherjs,Developer-Guidelines.md,developer guidelines,developer guideline
974,gopherjs/gopherjs,Using-native-JSON-parsing-to-realize-a-slim-JSON-decoder.md,using native json parsing to realize a slim json decoder,use native json parse to realize a slim json decoder
975,gopherjs/gopherjs,Frequently-Asked-Questions.md,frequently asked questions,frequently ask question
976,adobe-fonts/source-han-sans,Home.md,home,home
977,octalmage/robotjs,Electron.md,electron,electron
978,octalmage/robotjs,Projects-using-RobotJS.md,projects using robot js,project use robot js
979,tachyons-css/tachyons,FAQs.md,faqs,faq
980,helix-editor/helix,How-to-install-the-default-language-servers.md,how to install the default language servers,how to install the default language server
981,helix-editor/helix,Migrating-from-Vim.md,migrating from vim,migrate from vim
982,helix-editor/helix,Troubleshooting.md,troubleshooting,troubleshoot
983,helix-editor/helix,Differences-from.md,differences from,difference from
984,helix-editor/helix,Keymap-brainstorm.md,keymap brainstorm,keymap brainstorm
985,helix-editor/helix,Terminal-Support.md,terminal support,terminal support
986,helix-editor/helix,Themes.md,themes,theme
987,helix-editor/helix,Debugger-Configurations.md,debugger configurations,debugger configuration
988,helix-editor/helix,Healthcheck.md,healthcheck,healthcheck
989,json-iterator/go,Any_cn.md,any cn,any cn
990,json-iterator/go,Extension.md,extension,extension
991,json-iterator/go,Home.md,home,home
992,json-iterator/go,Config.md,config,config
993,json-iterator/go,Stream.md,stream,stream
994,morhetz/gruvbox,Troubleshooting.md,troubleshooting,troubleshoot
995,morhetz/gruvbox,Usage.md,usage,usage
996,morhetz/gruvbox,Terminal-specific.md,terminal specific,terminal specific
997,morhetz/gruvbox,Configuration.md,configuration,configuration
998,morhetz/gruvbox,Installation.md,installation,installation
999,facebook/watchman,Changes-required-for-Windows-support.md,changes required for windows support,change require for window support
1000,facebook/watchman,File-&-Dir-tracking-data-v2.md,file dir tracking data v2,file dir track data @NUMBER
1001,facebook/watchman,Better-Unicode-handling-plan.md,better unicode handling plan,better unicode handle plan
1002,jonas/tig,Bindings.md,bindings,bind
1003,getpelican/pelican,Externally-hosted-plugins-and-tools.md,externally hosted plugins and tools,externally host plugins and tool
1004,getpelican/pelican,Powered-by-Pelican.md,powered by pelican,power by @PROJECT
1005,getpelican/pelican,Home.md,home,home
1006,getpelican/pelican,Tutorials.md,tutorials,tutorial
1007,getpelican/pelican,Git-Tips.md,git tips,git tip
1008,getpelican/pelican,Tips-n-Tricks.md,tips n tricks,tip n trick
1009,jquery/jquery-ui,Release-process.md,release process,release process
1010,mobile-shell/mosh,Distribution-specific-installation.md,distribution specific installation,distribution specific installation
1011,mobile-shell/mosh,Debugging-and-Theory.md,debugging and theory,debug and theory
1012,mobile-shell/mosh,Design-wcwidth-replacement.md,design wcwidth replacement,design wcwidth replacement
1013,mobile-shell/mosh,Build-Instructions.md,build instructions,build instruction
1014,h5bp/Effeckt.css,Usage.md,usage,usage
1015,h5bp/Effeckt.css,Module-Naming-Standards.md,module naming standards,module name standard
1016,h5bp/Effeckt.css,Getting-Started.md,getting started,get start
1017,h5bp/Effeckt.css,Code-Style-Guide.md,code style guide,code style guide
1018,GoogleChrome/workbox,ES2015-Modules-&-Browser-Bundles.md,es2015 modules browser bundles,@NON_ENGLISH module browser bundle
1019,GoogleChrome/workbox,Adding-a-new-package.md,adding a new package,add a new package
1020,GoogleChrome/workbox,Testing.md,testing,test
1021,GoogleChrome/workbox,webpack-Plugin-Info.md,webpack plugin info,webpack plugin info
1022,GoogleChrome/workbox,Styleguide.md,styleguide,styleguide
1023,stylus/stylus,1.0.0.md,100,@NUMBER
1024,stylus/stylus,Home.md,home,home
1025,vectordotdev/vector,Testing-the-InfluxDB-sink.md,testing the influx db sink,test the influx db sink
1026,vectordotdev/vector,Testing--the-Splunk-sink.md,testing the splunk sink,test the splunk sink
1027,karpathy/char-rnn,Common-Issues.md,common issues,common issue
1028,ManimCommunity/manim,Maintainer-Guidelines-Chocolatey.md,maintainer guidelines chocolatey,maintainer guideline chocolatey
1029,ManimCommunity/manim,Adding-Subcommands.md,adding subcommands,add subcommands
1030,ManimCommunity/manim,Making-a-new-Release.md,making a new release,make a new release
1031,ManimCommunity/manim,FAQ.md,faq,faq
1032,ManimCommunity/manim,Roadmap.md,roadmap,roadmap
1033,ManimCommunity/manim,Manim-redesign-proposal-draft.md,manim redesign proposal draft,@PROJECT redesign proposal draft
1034,ManimCommunity/manim,Developer-documentation-(WIP).md,developer documentation wip,developer documentation wip
1035,ManimCommunity/manim,Opengl---Cairo-Renderer-Comparison.md,opengl cairo renderer comparison,opengl cairo renderer comparison
1036,luin/ioredis,Migrating-from-node_redis.md,migrating from node redis,migrate from node redis
1037,luin/ioredis,Upgrading-from-v4-to-v5.md,upgrading from v4 to v5,upgrade from @NUMBER to @NUMBER
1038,luin/ioredis,Disable-ready-check.md,disable ready check,disable ready check
1039,luin/ioredis,Breaking-changes-between-v1-and-v2.md,breaking changes between v1 and v2,break change between @NUMBER and @NUMBER
1040,howdyai/botkit,Companies-Using-Botkit.md,companies using botkit,company use @PROJECT
1041,highcharts/highcharts,Tools:-Module-configurations.md,tools module configurations,tool module configuration
1042,highcharts/highcharts,Tools:-tree.json.md,tools treejson,tool treejson
1043,highcharts/highcharts,Home.md,home,home
1044,highcharts/highcharts,Coding:-Replacing-wrap-with-event.md,coding replacing wrap with event,code replace wrap with event
1045,Wilfred/difftastic,Line-Based-Diffs.md,line based diffs,line base diffs
